timestamp,time_usec,lat,lon,alt,eph,epv,vel,cog,fix_type,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw
1683558287.8633847,1684226000,-353632621,1491652374,584380,121,200,0,30503,6,10,584380,300,300,40,0,0
1683558288.8630784,1685226000,-353632621,1491652374,584380,121,200,0,12759,6,10,584380,300,300,40,0,0
1683558289.8642943,1686226000,-353632621,1491652374,584380,121,200,0,11723,6,10,584380,300,300,40,0,0
1683558290.8653061,1687226000,-353632621,1491652374,584380,121,200,0,12935,6,10,584380,300,300,40,0,0
1683558291.8606288,1688226000,-353632621,1491652374,584380,121,200,0,31848,6,10,584380,300,300,40,0,0
1683558292.8602035,1689226000,-353632621,1491652374,584380,121,200,0,33300,6,10,584380,300,300,40,0,0
1683558293.8607335,1690226000,-353632621,1491652374,584380,121,200,0,8793,6,10,584380,300,300,40,0,0
1683558294.8604624,1691226000,-353632621,1491652374,584380,121,200,0,30300,6,10,584380,300,300,40,0,0
1683558295.8613591,1692226000,-353632621,1491652374,584380,121,200,0,3085,6,10,584380,300,300,40,0,0
1683558296.8610423,1693226000,-353632621,1491652374,584380,121,200,0,10142,6,10,584380,300,300,40,0,0
1683558297.8622794,1694226000,-353632621,1491652374,584380,121,200,0,34861,6,10,584380,300,300,40,0,0
1683558298.8626113,1695226000,-353632621,1491652374,584380,121,200,0,26379,6,10,584380,300,300,40,0,0
1683558299.862241,1696226000,-353632621,1491652374,584380,121,200,0,4472,6,10,584380,300,300,40,0,0
1683558300.861944,1697226000,-353632621,1491652374,584380,121,200,0,21221,6,10,584380,300,300,40,0,0
1683558301.8573217,1698226000,-353632621,1491652374,584380,121,200,0,4600,6,10,584380,300,300,40,0,0
1683558302.85698,1699226000,-353632621,1491652374,584380,121,200,0,11975,6,10,584380,300,300,40,0,0
1683558303.8595595,1700226000,-353632621,1491652374,584380,121,200,0,24773,6,10,584380,300,300,40,0,0
1683558304.859199,1701226000,-353632621,1491652374,584380,121,200,0,6024,6,10,584380,300,300,40,0,0
1683558305.8602993,1702226000,-353632621,1491652374,584380,121,200,0,20477,6,10,584380,300,300,40,0,0
1683558306.8558805,1703226000,-353632621,1491652374,584380,121,200,0,8648,6,10,584380,300,300,40,0,0
1683558307.8561046,1704226000,-353632621,1491652374,584380,121,200,0,26225,6,10,584380,300,300,40,0,0
1683558308.8557832,1705226000,-353632621,1491652374,584380,121,200,0,24771,6,10,584380,300,300,40,0,0
1683558309.8553126,1706226000,-353632621,1491652374,584380,121,200,0,23436,6,10,584380,300,300,40,0,0
1683558310.8549433,1707226000,-353632621,1491652374,584380,121,200,0,23071,6,10,584380,300,300,40,0,0
1683558311.8568182,1708226000,-353632621,1491652374,584380,121,200,0,20605,6,10,584380,300,300,40,0,0
1683558312.8564837,1709226000,-353632621,1491652374,584380,121,200,0,30771,6,10,584380,300,300,40,0,0
1683558313.8569295,1710226000,-353632621,1491652374,584380,121,200,0,34089,6,10,584380,300,300,40,0,0
1683558314.8530416,1711226000,-353632621,1491652374,584380,121,200,0,21773,6,10,584380,300,300,40,0,0
1683558315.8546448,1712226000,-353632621,1491652374,584380,121,200,0,17599,6,10,584380,300,300,40,0,0
1683558316.854376,1713226000,-353632621,1491652374,584380,121,200,0,31046,6,10,584380,300,300,40,0,0
1683558317.8548117,1714226000,-353632621,1491652374,584380,121,200,0,11508,6,10,584380,300,300,40,0,0
1683558318.8552246,1715226000,-353632621,1491652374,584380,121,200,0,18053,6,10,584380,300,300,40,0,0
1683558319.850701,1716226000,-353632621,1491652374,584380,121,200,0,375,6,10,584380,300,300,40,0,0
1683558320.850233,1717226000,-353632621,1491652374,584380,121,200,0,16941,6,10,584380,300,300,40,0,0
1683558321.8527396,1718226000,-353632621,1491652374,584380,121,200,0,5826,6,10,584380,300,300,40,0,0
1683558322.8539937,1719226000,-353632621,1491652374,584380,121,200,0,4477,6,10,584380,300,300,40,0,0
1683558323.849978,1720226000,-353632621,1491652374,584380,121,200,0,32132,6,10,584380,300,300,40,0,0
1683558324.8496058,1721226000,-353632621,1491652374,584380,121,200,0,33322,6,10,584380,300,300,40,0,0
1683558325.8520188,1722226000,-353632621,1491652374,584380,121,200,0,4770,6,10,584380,300,300,40,0,0
