timestamp,custom_mode,type,autopilot,base_mode,system_status,mavlink_version
1683558114.9231424,0,1,3,81,3,3
1683558115.9222307,0,1,3,81,3,3
1683558116.9219701,0,1,3,81,3,3
1683558117.9171844,0,1,3,81,3,3
1683558118.916933,0,1,3,81,3,3
1683558119.9164937,0,1,3,81,3,3
1683558120.916283,0,1,3,81,3,3
1683558121.9165394,0,1,3,81,3,3
1683558122.916217,0,1,3,81,3,3
1683558123.9160202,0,1,3,81,3,3
1683558124.9156752,0,1,3,81,3,3
1683558125.915182,0,1,3,81,3,3
1683558126.9149063,0,1,3,81,3,3
1683558127.9147923,0,1,3,81,3,3
1683558128.9142056,0,1,3,81,3,3
1683558129.9151168,0,1,3,81,3,3
1683558130.9156353,0,1,3,81,3,3
1683558131.9153514,0,1,3,81,3,3
1683558132.9157295,0,1,3,81,3,3
1683558133.9154708,0,1,3,81,3,3
1683558134.9150636,0,1,3,81,3,3
1683558135.9147165,0,1,3,81,3,3
1683558136.9143157,0,1,3,81,3,3
1683558137.9154944,0,1,3,81,3,3
1683558138.9151485,0,1,3,81,3,3
1683558139.9147875,0,1,3,81,3,3
1683558140.9144683,0,1,3,81,3,3
1683558141.9141643,0,1,3,81,3,3
1683558142.9138105,0,1,3,81,3,3
1683558143.9135342,0,1,3,81,3,3
1683558144.913192,0,1,3,81,3,3
1683558145.9086,0,1,3,81,3,3
1683558146.9082494,0,1,3,81,3,3
1683558147.909331,0,1,3,81,3,3
1683558148.90893,0,1,3,81,3,3
1683558149.9100795,0,1,3,81,3,3
1683558150.9105215,0,1,3,81,3,3
1683558151.9107633,0,1,3,81,3,3
1683558152.910505,0,1,3,81,3,3
1683558153.9065602,0,1,3,81,3,3
1683558154.9061286,0,1,3,81,3,3
1683558155.907424,0,1,3,81,3,3
1683558156.907005,0,1,3,81,3,3
1683558157.9081218,0,1,3,81,3,3
1683558158.9077585,0,1,3,81,3,3
1683558159.9031904,0,1,3,81,3,3
1683558160.9026682,0,1,3,81,3,3
1683558161.9060068,0,1,3,81,3,3
1683558162.905705,0,1,3,81,3,3
1683558163.9068124,0,1,3,81,3,3
1683558164.9064445,0,1,3,81,3,3
1683558165.9011304,0,1,3,81,3,3
1683558166.9057648,0,1,3,81,3,3
1683558167.9055266,0,1,3,81,3,3
1683558168.9051971,0,1,3,81,3,3
1683558169.9013672,0,1,3,81,3,3
1683558170.9010885,0,1,3,81,3,3
1683558171.9020045,0,1,3,81,3,3
1683558172.9019794,0,1,3,81,3,3
1683558173.9021163,0,1,3,81,3,3
1683558174.9012828,0,1,3,81,3,3
1683558175.9014328,0,1,3,81,3,3
1683558176.9012427,0,1,3,81,3,3
1683558177.8979704,0,1,3,81,3,3
1683558178.8976645,0,1,3,81,3,3
1683558179.8993511,0,1,3,81,3,3
1683558180.8989682,0,1,3,81,3,3
1683558181.8995492,0,1,3,81,3,3
1683558182.899105,0,1,3,81,3,3
1683558183.8994317,0,1,3,81,3,3
1683558184.8992388,0,1,3,81,3,3
1683558185.8966758,0,1,3,81,3,3
1683558186.89704,0,1,3,81,3,3
1683558187.896669,0,1,3,81,3,3
1683558188.8964016,0,1,3,81,3,3
1683558189.8981748,0,1,3,81,3,3
1683558190.8977933,0,1,3,81,3,3
1683558191.8939505,0,1,3,81,3,3
1683558192.8935492,0,1,3,81,3,3
1683558193.8953946,0,1,3,81,3,3
1683558194.89525,0,1,3,81,3,3
1683558195.8954725,0,1,3,81,3,3
1683558196.8950863,0,1,3,81,3,3
1683558197.895479,0,1,3,81,3,3
1683558198.8951502,0,1,3,81,3,3
1683558199.8897657,0,1,3,81,3,3
1683558200.889501,0,1,3,81,3,3
1683558201.8921938,0,1,3,81,3,3
1683558202.8916194,0,1,3,81,3,3
1683558203.8885126,0,1,3,81,3,3
1683558204.8882892,0,1,3,81,3,3
1683558205.889454,0,1,3,81,3,3
1683558206.8889587,0,1,3,81,3,3
1683558207.8907971,0,1,3,81,3,3
1683558208.890372,0,1,3,81,3,3
1683558209.8874912,0,1,3,81,3,3
1683558210.8871477,0,1,3,81,3,3
1683558211.8880727,0,1,3,81,3,3
1683558212.8878174,0,1,3,81,3,3
1683558213.8875852,0,1,3,81,3,3
1683558214.8871055,0,1,3,81,3,3
1683558215.888215,0,1,3,81,3,3
1683558216.8878517,0,1,3,81,3,3
1683558217.8887637,0,1,3,81,3,3
1683558218.8885858,0,1,3,81,3,3
1683558219.8839006,0,1,3,81,3,3
1683558220.8835833,0,1,3,81,3,3
1683558221.884504,0,1,3,81,3,3
1683558222.8841512,0,1,3,81,3,3
1683558223.8846939,0,1,3,81,3,3
1683558224.88434,0,1,3,81,3,3
1683558225.8846917,0,1,3,81,3,3
1683558226.8858256,0,1,3,81,3,3
1683558227.8854795,0,1,3,81,3,3
1683558228.8851488,0,1,3,81,3,3
1683558229.8801057,0,1,3,81,3,3
1683558230.8794954,0,1,3,81,3,3
1683558231.8801003,0,1,3,81,3,3
1683558232.8796864,0,1,3,81,3,3
1683558233.8807375,0,1,3,81,3,3
1683558234.881925,0,1,3,81,3,3
1683558235.8827941,0,1,3,81,3,3
1683558236.882611,0,1,3,81,3,3
1683558237.8771114,0,1,3,81,3,3
1683558238.8767571,0,1,3,81,3,3
1683558239.8780868,0,1,3,81,3,3
1683558240.8776898,0,1,3,81,3,3
1683558241.878981,0,1,3,81,3,3
1683558242.8799462,0,1,3,81,3,3
1683558243.8752844,0,1,3,81,3,3
1683558244.8749464,0,1,3,81,3,3
1683558245.876099,0,1,3,81,3,3
1683558246.8758953,0,1,3,81,3,3
1683558247.878383,0,1,3,81,3,3
1683558248.8779619,0,1,3,81,3,3
1683558249.8732886,0,1,3,81,3,3
1683558250.8742964,0,1,3,81,3,3
1683558251.8756232,0,1,3,81,3,3
1683558252.8754342,0,1,3,81,3,3
1683558253.8761837,0,1,3,81,3,3
1683558254.8759687,0,1,3,81,3,3
1683558255.8712382,0,1,3,81,3,3
1683558256.8710272,0,1,3,81,3,3
1683558257.8734844,0,1,3,81,3,3
1683558258.8745782,0,1,3,81,3,3
1683558259.8750162,0,1,3,81,3,3
1683558260.8745732,0,1,3,81,3,3
1683558261.8715134,0,1,3,81,3,3
1683558262.8711376,0,1,3,81,3,3
1683558263.8722947,0,1,3,81,3,3
1683558264.8718019,0,1,3,81,3,3
1683558265.872974,0,1,3,81,3,3
1683558266.8683834,0,1,3,81,3,3
1683558267.8688426,0,1,3,81,3,3
1683558268.868327,0,1,3,81,3,3
1683558269.8695378,0,1,3,81,3,3
1683558270.869235,0,1,3,81,3,3
1683558271.8702776,0,1,3,81,3,3
1683558272.8706968,0,1,3,81,3,3
1683558273.8666556,0,1,3,81,3,3
1683558274.8672752,0,1,3,81,3,3
1683558275.8682308,0,1,3,81,3,3
1683558276.8677697,0,1,3,81,3,3
1683558277.8682842,0,1,3,81,3,3
1683558278.8679638,0,1,3,81,3,3
1683558279.8632681,0,1,3,81,3,3
1683558280.8630762,0,1,3,81,3,3
1683558281.8633854,0,1,3,81,3,3
1683558282.864571,0,1,3,81,3,3
1683558283.8663576,0,1,3,81,3,3
1683558284.8659606,0,1,3,81,3,3
1683558285.8620815,0,1,3,81,3,3
1683558286.8617954,0,1,3,81,3,3
1683558287.8628416,0,1,3,81,3,3
1683558288.8625057,0,1,3,81,3,3
1683558289.8637118,0,1,3,81,3,3
1683558290.8647327,0,1,3,81,3,3
1683558291.8601346,0,1,3,81,3,3
1683558292.859643,0,1,3,81,3,3
1683558293.8602343,0,1,3,81,3,3
1683558294.8599622,0,1,3,81,3,3
1683558295.860784,0,1,3,81,3,3
1683558296.8604782,0,1,3,81,3,3
1683558297.8617132,0,1,3,81,3,3
1683558298.8621042,0,1,3,81,3,3
1683558299.8617198,0,1,3,81,3,3
1683558300.861379,0,1,3,81,3,3
1683558301.8567617,0,1,3,81,3,3
1683558302.8564446,0,1,3,81,3,3
1683558303.8590086,0,1,3,81,3,3
1683558304.858647,0,1,3,81,3,3
1683558305.8597252,0,1,3,81,3,3
1683558306.8551784,0,1,3,81,3,3
1683558307.8555157,0,1,3,81,3,3
1683558308.8552217,0,1,3,81,3,3
1683558309.8547978,0,1,3,81,3,3
1683558310.8544436,0,1,3,81,3,3
1683558311.8562713,0,1,3,81,3,3
1683558312.8559334,0,1,3,81,3,3
1683558313.8563728,0,1,3,81,3,3
1683558314.8524923,0,1,3,81,3,3
1683558315.8541481,0,1,3,81,3,3
1683558316.8538823,0,1,3,81,3,3
1683558317.8543177,0,1,3,81,3,3
1683558318.8547106,0,1,3,81,3,3
1683558319.8500123,0,1,3,81,3,3
1683558320.849751,0,1,3,81,3,3
1683558321.8521602,0,1,3,81,3,3
1683558322.8535173,0,1,3,81,3,3
1683558323.849424,0,1,3,81,3,3
1683558324.8490283,0,1,3,81,3,3
1683558325.851441,0,1,3,81,3,3
1683558326.8511245,0,1,3,81,3,3
1683558327.852242,0,1,3,81,3,3
1683558328.8518667,0,1,3,81,3,3
1683558329.8466535,0,1,3,81,3,3
1683558330.8476229,0,1,3,81,3,3
1683558331.8482592,0,1,3,81,3,3
1683558332.847748,0,1,3,81,3,3
1683558333.84819,0,1,3,81,3,3
1683558334.847814,0,1,3,81,3,3
1683558335.848136,0,1,3,81,3,3
1683558336.847836,0,1,3,81,3,3
