timestamp,time_boot_ms,lat,lon,alt,relative_alt,vx,vy,vz,hdg
1683558108.9231389,1505442,-353632622,1491652376,584430,57,-1,1,0,35349
1683558109.9228349,1506442,-353632622,1491652375,584440,69,-1,1,0,35348
1683558110.9224553,1507442,-353632622,1491652375,584460,84,0,1,0,35348
1683558111.9223645,1508442,-353632622,1491652375,584460,86,0,1,0,35347
1683558112.9218087,1509442,-353632622,1491652375,584370,-2,0,0,0,35347
1683558113.9235764,1510442,-353632622,1491652375,584390,13,0,0,0,35346
1683558114.9232607,1511442,-353632622,1491652375,584400,26,0,0,0,35345
1683558115.9224112,1512442,-353632622,1491652375,584420,42,0,0,0,35345
1683558116.9220746,1513442,-353632622,1491652375,584450,75,0,0,-1,35344
1683558117.9172943,1514442,-353632622,1491652375,584450,75,0,0,0,35344
1683558118.9170399,1515442,-353632621,1491652374,584370,-5,0,0,0,35343
1683558119.9166148,1516442,-353632621,1491652374,584320,-54,0,0,0,35343
1683558120.9163983,1517442,-353632621,1491652374,584290,-85,0,0,0,35342
1683558121.9166589,1518442,-353632621,1491652374,584260,-118,0,0,1,35341
1683558122.9163318,1519442,-353632621,1491652374,584210,-160,0,0,1,35341
1683558123.9161348,1520442,-353632621,1491652374,584200,-172,0,0,1,35340
1683558124.915777,1521442,-353632621,1491652374,584360,-12,0,0,1,35339
1683558125.915288,1522442,-353632621,1491652374,584380,4,0,-1,1,35339
1683558126.9150128,1523442,-353632621,1491652373,584400,27,0,-1,0,35338
1683558127.9149137,1524442,-353632621,1491652373,584410,33,0,-1,0,35337
1683558128.9143126,1525442,-353632621,1491652373,584410,35,0,-1,0,35336
1683558129.915236,1526442,-353632621,1491652373,584400,28,0,-1,0,35336
1683558130.9157484,1527442,-353632621,1491652373,584350,-23,1,-1,0,35335
1683558131.9154737,1528442,-353632621,1491652373,584290,-83,1,-1,1,35334
1683558132.9158337,1529442,-353632621,1491652373,584250,-121,1,-1,1,35333
1683558133.9155672,1530442,-353632621,1491652373,584220,-158,1,-1,1,35333
1683558134.9151888,1531442,-353632621,1491652373,584180,-192,1,-1,2,35332
1683558135.9148414,1532442,-353632621,1491652373,584160,-213,1,-1,1,35331
1683558136.9144228,1533442,-353632621,1491652373,584370,-6,1,-1,1,35330
1683558137.9156213,1534442,-353632621,1491652373,584400,23,1,-1,0,35329
1683558138.9152696,1535442,-353632621,1491652373,584450,76,1,-1,0,35328
1683558139.9148993,1536442,-353632621,1491652373,584480,102,1,-1,0,35327
1683558140.9145808,1537442,-353632620,1491652373,584480,105,1,-2,0,35326
1683558141.9142787,1538442,-353632620,1491652373,584500,122,1,-2,0,35325
1683558142.9139166,1539442,-353632620,1491652372,584380,2,1,-2,0,35324
1683558143.9136438,1540442,-353632620,1491652372,584350,-23,1,-2,0,35324
1683558144.9132838,1541442,-353632620,1491652372,584330,-47,1,-2,0,35322
1683558145.90872,1542442,-353632620,1491652372,584320,-51,1,-2,0,35321
1683558146.9083643,1543442,-353632620,1491652372,584320,-59,1,-2,0,35320
1683558147.9094472,1544442,-353632620,1491652372,584310,-67,1,-2,0,35319
1683558148.909033,1545442,-353632620,1491652372,584370,-2,1,-2,0,35318
1683558149.9101927,1546442,-353632620,1491652372,584410,38,1,-2,0,35317
